route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
1,1,605059,1 KENNY LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,0,338829,45273,0,0
1,1,605060,1 KENNY LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,0,340402,45273,0,0
1,1,605061,1 KENNY LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,0,338839,45273,0,0
1,1,605062,1 KENNY LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,0,340417,45272,0,0
1,1,605063,1 KENNY LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,0,338826,45272,0,0
1,1,605064,1 KENNY LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,0,338837,45272,0,0
1,1,605065,1 KENNY LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,0,338836,45272,0,0
1,1,605066,1 KENNY LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,0,340402,45272,0,0
1,1,605067,1 KENNY LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,0,338846,45273,0,0
1,1,605068,1 KENNY LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,0,338843,45273,0,0
1,1,605069,1 KENNY LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,0,338847,45273,0,0
1,1,605070,1 KENNY LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,0,338845,45273,0,0
1,1,605071,1 KENNY LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,0,338829,45274,0,0
1,1,605072,1 KENNY LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,0,338846,45272,0,0
1,1,605073,1 KENNY LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,0,338853,45272,0,0
1,1,605074,1 KENNY LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,0,338841,45274,0,0
1,1,605075,1 KENNY LIVINGSTON TO REYNOLDSBURG PARK AND RIDE,0,338837,45274,0,0
1,1,605076,1 KENNY LIVINGSTON TO SAWMILL AND BETHEL,1,338833,45278,0,0
1,1,605077,1 KENNY LIVINGSTON TO SAWMILL AND BETHEL,1,338831,45278,0,0
1,1,605078,1 KENNY LIVINGSTON TO RIVERSIDE HOSPITAL,1,338839,45277,0,0
1,1,605079,1 KENNY LIVINGSTON TO SAWMILL AND BETHEL,1,338835,45278,0,0
1,1,605080,1 KENNY LIVINGSTON TO SAWMILL AND BETHEL,1,338826,45278,0,0
1,1,605081,1 KENNY LIVINGSTON TO SAWMILL AND BETHEL,1,338844,45278,0,0
1,1,605082,1 KENNY LIVINGSTON TO SAWMILL AND BETHEL,1,338827,45278,0,0
1,1,605083,1 KENNY LIVINGSTON TO SAWMILL AND BETHEL,1,338845,45278,0,0
1,1,605084,1 KENNY LIVINGSTON TO SAWMILL AND BETHEL,1,338829,45278,0,0
1,1,605085,1 KENNY LIVINGSTON TO SAWMILL AND BETHEL,1,338830,45278,0,0
1,1,605086,1 KENNY LIVINGSTON TO SAWMILL AND BETHEL,1,338831,45278,0,0
1,1,605087,1 KENNY LIVINGSTON TO RIVERSIDE HOSPITAL,1,338840,45277,0,0
1,1,605088,1 KENNY LIVINGSTON TO RIVERSIDE HOSPITAL,1,338841,45277,0,0
1,1,605089,1 KENNY LIVINGSTON TO RIVERSIDE HOSPITAL,1,338842,45277,0,0
1,1,605090,1 KENNY LIVINGSTON TO RIVERSIDE HOSPITAL,1,338843,45277,0,0
1,1,605091,1 KENNY LIVINGSTON TO RIVERSIDE HOSPITAL,1,338828,45277,0,0
1,1,605092,1 KENNY LIVINGSTON TO RIVERSIDE HOSPITAL,1,338836,45277,0,0
1,1,605093,1 KENNY LIVINGSTON TO RIVERSIDE HOSPITAL,1,338837,45277,0,0
1,1,605094,1 KENNY LIVINGSTON TO RIVERSIDE HOSPITAL,1,338838,45277,0,0
1,1,605095,1 KENNY LIVINGSTON TO RIVERSIDE HOSPITAL,1,338833,45277,0,0
