stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon
KENPARS,3480,KENNY RD & PARKLEIGH RD,,40.043228,-83.050394
KENMCCS,3482,KENNY RD & MCCOY RD,,40.040292,-83.050605
KENMILS,3484,KENNY RD & MILLCREEK LN,,40.036631,-83.050863
NORCLEE,3488,W NORTH BROADWAY & CLEARVIEW AVE,,40.02873,-83.045614
NORSHAE,3489,W NORTH BROADWAY & SHATTUCK AVE,,40.029015,-83.042568
NORENTE,3490,W NORTH BROADWAY & RIVERSIDE HOSP,,40.029301,-83.034629
OLEUNIS,3491,OLENTANGY RIVER RD & UNION CEMETERY,,40.027108,-83.027846
REYRIDSW,3522,REYNOLDSBURG PARK & RIDE,2100 BIRCHVIEW DR & REYNOLDSBURG P & R,39.939285,-82.827489
OLELANN,3524,OLENTANGY RIVER RD & W LANE AVE,,40.007262,-83.022953
OLE3440S,3662,3440 OLENTANGY RIVER RD,,40.029064,-83.029427
NOREXIW,3825,W NORTH BROADWAY & RIVERSIDE EXIT,,40.029556,-83.035658
LIVBERE,3866,E LIVINGSTON AVE & BERKLEY RD,E LIVINGSTON AVE & BERKELEY RD,39.948967,-82.956645
HIG18TS,3957,N HIGH ST & E 18TH AVE,,40.002899,-83.008719
LIVBRIW,4025,E LIVINGSTON AVE & BRICE RD,,39.942184,-82.830486
LIVLATE,4063,E LIVINGSTON AVE & LATTIMER DR,,39.9441,-82.867046
HIGRICN,4085,S HIGH ST & E RICH ST,,39.957314,-82.999596
HIGSTANN,4087,S HIGH ST & E STATE ST,,39.959836,-83.000015
HIGNATN,4092,N HIGH ST & E NATIONWIDE BLVD,,39.968227,-83.001755
HIGOHIN,4094,N HIGH ST & OHIO CENTER WAY,N HIGH ST & E NATIONWIDE BLVD,39.96987,-83.002013
HIGSPRUN,4095,N HIGH ST & SPRUCE ST,,39.972747,-83.002579
HIGSWANS,4096,N HIGH ST & SWAN ST,N HIGH ST & W SWAN ST,39.973099,-83.00285
LIVQUAE,4097,E LIVINGSTON AVE & QUARRY RIDGE DR,,39.942963,-82.841065
HIGNATS,4100,N HIGH ST & W NATIONWIDE BLVD,N HIGH ST & @ W NATIONWIDE BLVD,39.968182,-83.001838
HIGLONS,4101,N HIGH ST & W LONG ST,N HIGH ST & E LONG ST,39.965157,-83.001322
HIGTOWS,4106,S HIGH ST & W TOWN ST,,39.958095,-82.999953
HIGMOUS,4109,S HIGH ST & W MOUND ST,,39.954153,-82.999185
LIVSARW,4111,E LIVINGSTON AVE & SARANAC DR,,39.942456,-82.835749
OLE2825N,4204,2825 OLENTANGY RIVER RD,,40.018477,-83.023723
LIV3RDE,4211,E LIVINGSTON AVE & S 3RD ST,,39.952724,-82.996294
EWMHARN,4231,EDWARD WEAVER MEMORIAL & HARLEY DR,J EDWARD WEAVER MEMORIAL DR & HARLEY DR,40.020472,-83.024937
OLEBURN,4350,OLENTANGY RIVER RD & BURNBRAE AVE,2620 OLENTANGY RIVER RD & BURNBRAE AVE,40.014478,-83.022271
OLE3420N,4417,3420 OLENTANGY RIVER RD,,40.029275,-83.029277
OLERIVN,4453,OLENTANGY RIVER RD & RIVERVIEW,OLENTANGY RIVER RD & RIVERVIEW DR,40.024336,-83.025947
LIVMCNW,4667,E LIVINGSTON AVE & MCNAUGHTEN RD,,39.942626,-82.838039
GODCHEW,4911,GODOWN RD & CHEVIOT DR,,40.060216,-83.050996
LIVALUW,4928,E LIVINGSTON AVE & ALUM CREEK DR,,39.948562,-82.945938
LIV18TW,4929,E LIVINGSTON AVE & S 18TH ST,,39.950827,-82.977497
GODCAMN,4930,GODOWN RD & CAMBRIAN DR,,40.06201,-83.054974
BETDIEW,5131,BETHEL RD & DIERKER RD,,40.064425,-83.075519
EASOFFW,5142,EASTGREEN BLVD & OFFICEVIEW PL,,39.938459,-82.829
HIGOHIS,5208,N HIGH ST & OHIO CENTER WAY,,39.970186,-83.002323
RESSAWE,5216,RESLER DR & SAWMILL RD,,40.067851,-83.091564
PICBETS,5217,PICKFORDE DR & BETHEL RD,,40.065959,-83.086596
BETDIEE,5218,BETHEL RD & DIERKER RD,,40.064184,-83.07436
BETCOAW,5224,BETHEL RD & COACHMAN RD,,40.064626,-83.0817
BETWOOE,5225,BETHEL RD & WOOD RUN BLVD,,40.064408,-83.080785
BETMCKW,5606,BETHEL RD & MCKITRICK BLVD,,40.064282,-83.07086
BETBETW,5607,BETHEL RD & BETHEL PARK DR,,40.064509,-83.078202
BETOLGE,5608,BETHEL RD & OLGATE LN,,40.064068,-83.070427
BETHEDE,5609,BETHEL RD & HEDGEROW RD,,40.0643,-83.077475
BETREEW,5750,BETHEL RD & REED RD,,40.064207,-83.067336
BETPORW,5751,BETHEL RD & PORTLAND ST,,40.064002,-83.062532
BETREEE,5771,BETHEL RD & REED RD,,40.06389,-83.06603
BETPORE,5772,BETHEL RD & PORTLAND ST,,40.063794,-83.061802
BETGODW,5781,BETHEL RD & GODOWN RD,,40.06384,-83.057486
HIGGAYN,5910,N HIGH ST & E LONG ST,N HIGH ST & E GAY ST,39.964424,-83.00096
HIG9THN,5983,N HIGH ST & E 9TH AVE,,39.993254,-83.006599
KENRUES,6039,KENNY RD & RUE DE FLEUR,,40.0309,-83.049521
LIVMAYE,6091,E LIVINGSTON AVE & MAYFIELD PL,,39.94815,-82.941161
OLEARGN,6351,OLENTANGY RIVER RD & ARGYLL ST,,40.012481,-83.02198
OLEARGS,6352,OLENTANGY RIVER RD & ARGYLL ST,,40.011504,-83.022319
220OLEN,6353,2200 OLENTANGY RIVER RD,,40.009742,-83.022347
RIVHOSW,6364,RIVERSIDE HOSPITAL,CENTENNIAL DR,40.032262,-83.032227
HIGMOUN,6370,S HIGH ST & E MOUND ST,,39.954211,-82.998989
HIGBRONN,6464,S HIGH ST & E BROAD ST,,39.961687,-83.000479
GODBETS,6532,GODOWN RD & BETHEL RD,,40.06278,-83.056846
SAWBETN,6580,SAWMILL RD & BETHEL RD,,40.066004,-83.093052
OLE2825S,6778,2825 OLENTANGY RIVER RD,,40.018712,-83.024156
2425BET,6845,2425 BETHEL RD,,40.064526,-83.084106
OLERIVS1,6945,OLENTANGY RIVER RD & RIVERVIEW DR,,40.024316,-83.026198
BETGRYSW,7089,BETHEL RD & GREYSTONE DR,,40.064933,-83.090337
OLEHARS2,7128,OLENTANGY RIVER RD & HARLEY DR,,40.020425,-83.024769
LIVCHEE,7157,E LIVINGSTON AVE & CHELSEA AVE,,39.94736,-82.925531
LIVCARW,7175,E LIVINGSTON AVE & CARPENTER ST,,39.949977,-82.974898
LIVBROW,7178,E LIVINGSTON AVE & BROWNING AVE,,39.947313,-82.922266
LIVCHEW,7213,E LIVINGSTON AVE & CHELSEA AVE,,39.947494,-82.925709
LIVSIMW1,7230,E LIVINGSTON AVE & SIMPSON DR,,39.944621,-82.8736
HIGMAIS2,7257,S HIGH ST & W MAIN ST,,39.955576,-82.999492
HIGPREN,7413,HIGH ST & PRESCOTT ST,N HIGH ST & PRESCOTT ST,39.980166,-83.004035
LANHIGW,7536,W LANE AVE & N HIGH ST,W LANE AVE & ALY,40.006139,-83.010373
HIGLANS,7537,N HIGH ST & W LANE AVE,N HIGH ST & E LANE AVE,40.00565,-83.009261
LANNEIW,7538,W LANE AVE & NEIL AVE,,40.006269,-83.014143
LANNEIE,7539,W LANE AVE & NEIL AVE,,40.006144,-83.013788
LANTUTW,7541,W LANE AVE & TUTTLE PARK PL,,40.0064,-83.016767
LANTUTE,7542,W LANE AVE & TUTTLE PARK PL,,40.006301,-83.01692
LANOLEE,7545,W LANE AVE & OLENTANGY RIVER RD,,40.006508,-83.022794
BETPICW,7546,BETHEL RD & PICKFORDE DR,,40.064843,-83.087054
OLEACKS,7547,OLENTANGY RIVER RD & ACKERMAN RD,,40.015379,-83.022838
OLEDODN,7548,OLENTANGY RIVER RD & DODRIDGE ST,OLENTANGY RIVER RD & W DODRIDGE ST,40.016977,-83.023101
BROOLEW,8009,W NORTH BROADWAY & OLENTANGY RIVER RD,,40.029772,-83.032682
